EVENT,RedFighter vs. BlueFighter,FIGHTER,KD,SUB.ATT,REV.,SIG.STR._LANDED,SIG.STR._ATTEMPTS,TOTAL STR._LANDED,TOTAL STR._ATTEMPTS,TD_LANDED,TD_ATTEMPTS,HEAD_LANDED,HEAD_ATTEMPTS,BODY_LANDED,BODY_ATTEMPTS,LEG_LANDED,LEG_ATTEMPTS,DISTANCE_LANDED,DISTANCE_ATTEMPTS,CLINCH_LANDED,CLINCH_ATTEMPTS,GROUND_LANDED,GROUND_ATTEMPTS,TOTAL CTRL IN SEC,ROUND,RedFighter,BlueFighter,CleanEvent,Date
ortiz vs shamrock 3: the final chapter,Jason MacDonald vs. Ed Herman,Ed Herman,0,0,1,2,2,5,5,1,2,0,0,0,0,2,2,2,2,0,0,0,0,0,1,Jason MacDonald,Ed Herman,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Jason MacDonald vs. Ed Herman,Jason MacDonald,0,2,1,5,7,14,16,0,1,4,5,0,0,1,2,2,4,0,0,3,3,0,1,Jason MacDonald,Ed Herman,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Kendall Grove vs. Chris Price,Chris Price,0,0,1,5,10,7,12,0,0,2,7,3,3,0,0,2,5,3,3,0,2,0,1,Kendall Grove,Chris Price,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Kendall Grove vs. Chris Price,Kendall Grove,0,1,1,13,26,22,36,1,1,12,25,1,1,0,0,1,4,1,1,11,21,0,1,Kendall Grove,Chris Price,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Marcus Davis vs. Forrest Petz,Forrest Petz,0,0,0,5,18,19,35,0,0,2,14,2,3,1,1,1,9,4,9,0,0,0,1,Marcus Davis,Forrest Petz,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Marcus Davis vs. Forrest Petz,Marcus Davis,0,1,0,33,50,66,88,0,0,17,33,8,9,8,8,5,11,20,24,8,15,0,1,Marcus Davis,Forrest Petz,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Matt Hamill vs. Seth Petruzelli,Matt Hamill,0,0,0,14,40,105,148,7,11,11,37,0,0,3,3,8,29,3,5,3,6,0,3,Matt Hamill,Seth Petruzelli,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Matt Hamill vs. Seth Petruzelli,Seth Petruzelli,1,1,0,25,58,54,88,0,0,11,41,8,10,6,7,21,49,3,6,1,3,0,3,Matt Hamill,Seth Petruzelli,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Nate Marquardt vs. Crafton Wallace,Crafton Wallace,0,0,0,4,18,27,41,0,0,3,16,0,1,1,1,4,17,0,0,0,1,0,2,Nate Marquardt,Crafton Wallace,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Nate Marquardt vs. Crafton Wallace,Nate Marquardt,0,2,1,13,27,31,47,2,3,7,20,2,2,4,5,7,16,0,0,6,11,0,2,Nate Marquardt,Crafton Wallace,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Rory Singer vs. Josh Haynes,Josh Haynes,1,0,0,23,101,32,113,1,6,15,87,4,9,4,5,12,74,2,7,9,20,0,3,Rory Singer,Josh Haynes,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Rory Singer vs. Josh Haynes,Rory Singer,0,0,0,50,123,57,130,0,1,44,117,5,5,1,1,38,100,12,22,0,1,0,3,Rory Singer,Josh Haynes,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Thiago Alves vs. John Alessio,John Alessio,0,0,0,13,82,18,87,2,10,12,79,0,2,1,1,10,72,2,9,1,1,0,3,Thiago Alves,John Alessio,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Thiago Alves vs. John Alessio,Thiago Alves,0,0,0,63,142,84,164,0,0,27,95,11,13,25,34,41,104,15,23,7,15,0,3,Thiago Alves,John Alessio,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Tito Ortiz vs. Ken Shamrock,Ken Shamrock,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Tito Ortiz,Ken Shamrock,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Tito Ortiz vs. Ken Shamrock,Tito Ortiz,0,0,0,18,29,38,52,1,1,15,25,1,1,2,3,0,2,3,3,15,24,0,1,Tito Ortiz,Ken Shamrock,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Tony DeSouza vs. Dustin Hazelett,Dustin Hazelett,0,1,0,1,4,1,4,0,0,1,4,0,0,0,0,1,4,0,0,0,0,0,1,Tony DeSouza,Dustin Hazelett,ortiz vs shamrock 3 the final chapter,10/10/2006
ortiz vs shamrock 3: the final chapter,Tony DeSouza vs. Dustin Hazelett,Tony DeSouza,0,1,0,5,5,12,12,1,1,5,5,0,0,0,0,0,0,0,0,5,5,0,1,Tony DeSouza,Dustin Hazelett,ortiz vs shamrock 3 the final chapter,10/10/2006
the ultimate fighter: a champion will be crowned finale,Aisling Daly vs. Alex Chambers,Aisling Daly,0,1,0,16,26,52,68,1,2,13,21,3,5,0,0,5,11,2,4,9,11,0,1,Aisling Daly,Alex Chambers,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Aisling Daly vs. Alex Chambers,Alex Chambers,0,0,0,12,15,12,15,1,1,5,7,2,3,5,5,6,7,5,6,1,2,0,1,Aisling Daly,Alex Chambers,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Bec Rawlings vs. Heather Clark,Bec Rawlings,0,0,0,69,118,90,147,0,2,45,89,6,10,18,19,43,82,25,35,1,1,0,3,Bec Rawlings,Heather Clark,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Bec Rawlings vs. Heather Clark,Heather Clark,0,1,0,56,99,85,136,1,5,33,66,15,23,8,10,29,64,21,27,6,8,0,3,Bec Rawlings,Heather Clark,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Carla Esparza vs. Rose Namajunas,Carla Esparza,0,1,0,42,90,107,180,5,7,36,79,6,10,0,1,11,45,11,21,20,24,0,3,Carla Esparza,Rose Namajunas,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Carla Esparza vs. Rose Namajunas,Rose Namajunas,0,0,0,28,72,29,73,1,3,16,53,8,14,4,5,22,58,4,10,2,4,0,3,Carla Esparza,Rose Namajunas,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Emily Kagan vs. Angela Hill,Angela Hill,1,0,1,107,159,140,199,0,1,68,113,31,38,8,8,32,63,68,87,7,9,0,3,Emily Kagan,Angela Hill,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Emily Kagan vs. Angela Hill,Emily Kagan,0,0,0,41,91,60,113,2,12,15,52,11,21,15,18,26,70,15,21,0,0,0,3,Emily Kagan,Angela Hill,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Felice Herrig vs. Lisa Ellis,Felice Herrig,0,3,2,8,14,48,64,1,1,8,13,0,1,0,0,1,6,0,0,7,8,0,2,Felice Herrig,Lisa Ellis,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Felice Herrig vs. Lisa Ellis,Lisa Ellis,0,1,1,4,5,7,10,2,3,3,4,1,1,0,0,1,2,1,1,2,2,0,2,Felice Herrig,Lisa Ellis,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Jeremy Stephens vs. Charles Oliveira,Charles Oliveira,0,3,0,43,67,74,100,2,7,25,46,12,15,6,6,20,39,15,17,8,11,0,3,Jeremy Stephens,Charles Oliveira,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Jeremy Stephens vs. Charles Oliveira,Jeremy Stephens,0,0,0,48,79,55,88,0,0,34,59,8,11,6,9,25,47,6,6,17,26,0,3,Jeremy Stephens,Charles Oliveira,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Jessica Penne vs. Randa Markos,Jessica Penne,0,0,1,39,98,94,166,4,8,24,76,8,12,7,10,19,71,6,7,14,20,0,3,Jessica Penne,Randa Markos,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Jessica Penne vs. Randa Markos,Randa Markos,0,0,0,55,102,76,124,1,2,44,89,2,3,9,10,42,82,1,5,12,15,0,3,Jessica Penne,Randa Markos,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Joanne Wood vs. Seo Hee Ham,Joanne Wood,0,0,0,109,223,147,271,2,4,41,119,27,41,41,63,70,164,30,44,9,15,0,3,Joanne Wood,Seo Hee Ham,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Joanne Wood vs. Seo Hee Ham,Seo Hee Ham,0,0,0,58,111,63,116,0,3,22,60,17,22,19,29,50,97,8,14,0,0,0,3,Joanne Wood,Seo Hee Ham,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Joe Proctor vs. Yancy Medeiros,Joe Proctor,0,0,0,15,46,15,46,0,0,2,26,4,7,9,13,15,46,0,0,0,0,0,1,Joe Proctor,Yancy Medeiros,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Joe Proctor vs. Yancy Medeiros,Yancy Medeiros,1,1,0,25,66,25,66,0,0,8,40,9,17,8,9,21,59,1,1,3,6,0,1,Joe Proctor,Yancy Medeiros,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,KJ Noons vs. Daron Cruickshank,Daron Cruickshank,0,0,0,23,59,23,59,2,3,11,45,6,8,6,6,22,58,1,1,0,0,0,2,KJ Noons,Daron Cruickshank,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,KJ Noons vs. Daron Cruickshank,KJ Noons,0,0,0,18,47,18,47,0,0,9,29,0,2,9,16,17,45,1,1,0,1,0,2,KJ Noons,Daron Cruickshank,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Tecia Torres vs. Angela Magana,Angela Magana,0,0,0,37,145,38,146,0,2,7,97,11,24,19,24,32,139,5,6,0,0,0,3,Tecia Torres,Angela Magana,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a champion will be crowned finale,Tecia Torres vs. Angela Magana,Tecia Torres,1,0,0,96,196,98,200,1,1,57,137,29,46,10,13,89,186,7,10,0,0,0,3,Tecia Torres,Angela Magana,the ultimate fighter a champion will be crowned finale,12-Dec-14
the ultimate fighter: a new world champion finale,Andrew Sanchez vs. Ryan Janes,Andrew Sanchez,2,0,0,96,183,113,200,3,7,90,173,6,10,0,0,80,160,9,14,7,9,0,3,Andrew Sanchez,Ryan Janes,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Andrew Sanchez vs. Ryan Janes,Ryan Janes,0,0,0,159,267,200,312,0,0,121,226,32,35,6,6,131,232,28,35,0,0,0,3,Andrew Sanchez,Ryan Janes,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Ariel Beck vs. Shana Dobson,Ariel Beck,0,0,0,35,102,35,102,0,0,8,52,16,37,11,13,34,100,1,2,0,0,0,2,Ariel Beck,Shana Dobson,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Ariel Beck vs. Shana Dobson,Shana Dobson,1,0,0,34,95,36,97,0,0,19,70,9,16,6,9,31,92,3,3,0,0,0,2,Ariel Beck,Shana Dobson,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Barb Honchak vs. Lauren Murphy,Barb Honchak,0,2,0,71,236,75,241,0,0,55,216,3,5,13,15,71,236,0,0,0,0,0,3,Barb Honchak,Lauren Murphy,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Barb Honchak vs. Lauren Murphy,Lauren Murphy,0,0,0,59,197,77,222,2,2,49,184,2,4,8,9,59,197,0,0,0,0,0,3,Barb Honchak,Lauren Murphy,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Christina Marks vs. Montana De La Rosa,Christina Marks,0,0,0,10,17,17,24,1,1,6,13,2,2,2,2,7,12,3,4,0,1,0,1,Christina Marks,Montana De La Rosa,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Christina Marks vs. Montana De La Rosa,Montana De La Rosa,0,1,0,6,17,8,19,0,0,3,13,2,3,1,1,3,10,3,7,0,0,0,1,Christina Marks,Montana De La Rosa,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,DeAnna Bennett vs. Melinda Fabian,DeAnna Bennett,0,1,0,47,81,82,117,0,11,25,54,16,21,6,6,27,57,19,23,1,1,0,3,DeAnna Bennett,Melinda Fabian,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,DeAnna Bennett vs. Melinda Fabian,Melinda Fabian,1,0,0,49,117,102,175,0,0,34,98,12,16,3,3,32,91,17,24,0,2,0,3,DeAnna Bennett,Melinda Fabian,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Eric Spicely vs. Gerald Meerschaert,Eric Spicely,0,1,0,17,31,59,81,1,5,15,28,2,3,0,0,11,24,1,1,5,6,0,2,Eric Spicely,Gerald Meerschaert,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Eric Spicely vs. Gerald Meerschaert,Gerald Meerschaert,1,0,1,36,85,45,95,0,0,30,77,6,8,0,0,33,82,1,1,2,2,0,2,Eric Spicely,Gerald Meerschaert,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Gillian Robertson vs. Emily Whitmire,Emily Whitmire,0,0,1,9,15,13,20,0,0,7,13,0,0,2,2,6,12,2,2,1,1,0,1,Gillian Robertson,Emily Whitmire,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Gillian Robertson vs. Emily Whitmire,Gillian Robertson,0,1,0,2,6,4,8,1,1,2,6,0,0,0,0,2,6,0,0,0,0,0,1,Gillian Robertson,Emily Whitmire,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Joe Soto vs. Brett Johns,Brett Johns,0,1,0,1,9,1,9,0,0,1,9,0,0,0,0,1,9,0,0,0,0,0,1,Joe Soto,Brett Johns,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Joe Soto vs. Brett Johns,Joe Soto,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Joe Soto,Brett Johns,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Karine Gevorgyan vs. Rachael Ostovich,Karine Gevorgyan,0,0,0,2,10,2,10,0,2,2,10,0,0,0,0,2,10,0,0,0,0,0,1,Karine Gevorgyan,Rachael Ostovich,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Karine Gevorgyan vs. Rachael Ostovich,Rachael Ostovich,0,1,0,3,13,5,15,1,1,1,10,0,0,2,3,3,13,0,0,0,0,0,1,Karine Gevorgyan,Rachael Ostovich,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Nicco Montano vs. Roxanne Modafferi,Nicco Montano,0,1,1,186,456,242,524,3,6,138,397,13,23,35,36,161,422,10,18,15,16,0,5,Nicco Montano,Roxanne Modafferi,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Nicco Montano vs. Roxanne Modafferi,Roxanne Modafferi,0,1,0,132,403,154,433,2,9,112,373,12,21,8,9,123,391,7,10,2,2,0,5,Nicco Montano,Roxanne Modafferi,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Sean O'Malley vs. Terrion Ware,Sean O'Malley,0,0,0,141,252,142,255,3,6,119,224,20,26,2,2,131,241,6,7,4,4,0,3,Sean O'Malley,Terrion Ware,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: a new world champion finale,Sean O'Malley vs. Terrion Ware,Terrion Ware,0,0,0,88,288,96,296,0,2,59,241,17,27,12,20,83,271,5,17,0,0,0,3,Sean O'Malley,Terrion Ware,the ultimate fighter a new world champion finale,1-Dec-17
the ultimate fighter: american top team vs. blackzilians finale,Angela Magana vs. Michelle Waterson,Angela Magana,0,1,0,8,24,19,36,1,1,3,17,2,4,3,3,6,21,2,3,0,0,0,3,Angela Magana,Michelle Waterson,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Angela Magana vs. Michelle Waterson,Michelle Waterson,0,4,0,47,60,102,120,3,3,25,37,15,16,7,7,25,33,9,9,13,18,0,3,Angela Magana,Michelle Waterson,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Dan Miller vs. Trevor Smith,Dan Miller,0,1,0,25,59,29,63,0,1,10,43,13,14,2,2,13,46,12,13,0,0,0,3,Dan Miller,Trevor Smith,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Dan Miller vs. Trevor Smith,Trevor Smith,0,0,0,51,76,149,180,1,3,41,66,9,9,1,1,15,33,9,11,27,32,0,3,Dan Miller,Trevor Smith,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Darrell Montague vs. Willie Gates,Darrell Montague,0,0,0,4,13,4,13,0,1,0,9,2,2,2,2,4,13,0,0,0,0,0,1,Darrell Montague,Willie Gates,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Darrell Montague vs. Willie Gates,Willie Gates,1,0,0,19,33,21,35,0,0,15,28,3,4,1,1,9,22,0,0,10,11,0,1,Darrell Montague,Willie Gates,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,George Sullivan vs. Dominic Waters,Dominic Waters,0,0,0,13,53,32,72,5,5,12,51,1,1,0,1,10,49,1,2,2,2,0,3,George Sullivan,Dominic Waters,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,George Sullivan vs. Dominic Waters,George Sullivan,0,3,1,54,96,103,145,2,2,29,65,18,22,7,9,21,51,10,10,23,35,0,3,George Sullivan,Dominic Waters,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Jake Ellenberger vs. Stephen Thompson,Jake Ellenberger,1,0,0,5,14,14,23,0,1,4,12,1,1,0,1,1,7,4,7,0,0,0,1,Jake Ellenberger,Stephen Thompson,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Jake Ellenberger vs. Stephen Thompson,Stephen Thompson,2,0,0,20,35,29,47,1,3,17,29,2,5,1,1,12,22,1,3,7,10,0,1,Jake Ellenberger,Stephen Thompson,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Jorge Masvidal vs. Cezar Ferreira,Cezar Ferreira,0,0,0,7,18,9,20,1,3,5,10,2,6,0,2,6,16,1,2,0,0,0,1,Jorge Masvidal,Cezar Ferreira,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Jorge Masvidal vs. Cezar Ferreira,Jorge Masvidal,1,0,0,12,23,14,25,0,0,8,17,3,4,1,2,5,15,3,4,4,4,0,1,Jorge Masvidal,Cezar Ferreira,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Josh Samman vs. Caio Magalhaes,Caio Magalhaes,0,0,0,3,8,5,10,0,0,3,7,0,0,0,1,3,8,0,0,0,0,0,1,Josh Samman,Caio Magalhaes,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Josh Samman vs. Caio Magalhaes,Josh Samman,0,1,0,12,19,21,28,0,0,3,6,3,7,6,6,12,19,0,0,0,0,0,1,Josh Samman,Caio Magalhaes,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Kamaru Usman vs. Hayder Hassan,Hayder Hassan,0,0,0,3,11,7,15,0,0,3,10,0,1,0,0,1,8,2,3,0,0,0,2,Kamaru Usman,Hayder Hassan,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Kamaru Usman vs. Hayder Hassan,Kamaru Usman,0,1,0,15,26,31,43,6,8,10,21,5,5,0,0,4,9,4,4,7,13,0,2,Kamaru Usman,Hayder Hassan,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Maximo Blanco vs. Mike de la Torre,Maximo Blanco,1,0,0,4,7,4,7,0,0,3,6,1,1,0,0,4,7,0,0,0,0,0,1,Maximo Blanco,Mike de la Torre,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Maximo Blanco vs. Mike de la Torre,Mike de la Torre,0,0,0,1,5,1,5,0,0,0,3,1,2,0,0,1,5,0,0,0,0,0,1,Maximo Blanco,Mike de la Torre,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Michael Graves vs. Vicente Luque,Michael Graves,0,0,1,27,45,53,72,7,10,22,35,3,6,2,4,12,22,7,13,8,10,0,3,Michael Graves,Vicente Luque,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Michael Graves vs. Vicente Luque,Vicente Luque,0,1,0,28,57,50,79,0,0,13,35,12,18,3,4,16,40,3,4,9,13,0,3,Michael Graves,Vicente Luque,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Russell Doane vs. Jerrod Sanders,Jerrod Sanders,0,3,1,15,22,47,57,3,8,10,16,5,5,0,1,5,11,4,5,6,6,0,3,Russell Doane,Jerrod Sanders,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: american top team vs. blackzilians finale,Russell Doane vs. Jerrod Sanders,Russell Doane,1,3,2,13,26,34,51,1,2,10,21,3,5,0,0,3,13,6,9,4,4,0,3,Russell Doane,Jerrod Sanders,the ultimate fighter american top team vs blackzilians finale,12-Jul-15
the ultimate fighter: heavy hitters finale,Darren Stewart vs. Edmen Shahbazyan,Darren Stewart,0,0,0,34,71,46,84,1,3,29,63,4,6,1,2,11,40,12,16,11,15,0,3,Darren Stewart,Edmen Shahbazyan,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Darren Stewart vs. Edmen Shahbazyan,Edmen Shahbazyan,0,0,0,22,37,27,43,8,21,12,25,6,8,4,4,10,21,11,15,1,1,0,3,Darren Stewart,Edmen Shahbazyan,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Ji Yeon Kim vs. Antonina Shevchenko,Antonina Shevchenko,0,0,0,66,134,87,167,2,2,41,101,18,26,7,7,46,106,14,19,6,9,0,3,Ji Yeon Kim,Antonina Shevchenko,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Ji Yeon Kim vs. Antonina Shevchenko,Ji Yeon Kim,0,0,0,33,128,85,188,0,0,18,113,5,5,10,10,26,116,7,12,0,0,0,3,Ji Yeon Kim,Antonina Shevchenko,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Joseph Benavidez vs. Alex Perez,Alex Perez,0,0,0,14,32,14,32,1,1,5,21,7,9,2,2,9,27,5,5,0,0,0,1,Joseph Benavidez,Alex Perez,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Joseph Benavidez vs. Alex Perez,Joseph Benavidez,0,0,0,35,72,42,79,1,2,20,48,11,17,4,7,19,50,1,2,15,20,0,1,Joseph Benavidez,Alex Perez,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Juan Espino vs. Justin Frazier,Juan Espino,0,2,0,22,23,44,52,2,2,19,20,3,3,0,0,0,0,5,5,17,18,0,1,Juan Espino,Justin Frazier,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Juan Espino vs. Justin Frazier,Justin Frazier,0,0,0,4,6,17,19,0,0,0,2,4,4,0,0,0,1,4,5,0,0,0,1,Juan Espino,Justin Frazier,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Julija Stoliarenko vs. Leah Letson,Julija Stoliarenko,0,1,0,57,158,66,168,0,4,39,126,7,14,11,18,50,149,5,7,2,2,0,3,Julija Stoliarenko,Leah Letson,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Julija Stoliarenko vs. Leah Letson,Leah Letson,0,0,0,73,179,88,196,0,1,40,137,19,26,14,16,66,169,6,9,1,1,0,3,Julija Stoliarenko,Leah Letson,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Maurice Greene vs. Michel Batista,Maurice Greene,0,1,0,9,15,11,18,0,0,6,11,1,2,2,2,4,10,5,5,0,0,0,1,Maurice Greene,Michel Batista,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Maurice Greene vs. Michel Batista,Michel Batista,0,0,0,0,0,4,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Maurice Greene,Michel Batista,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Pannie Kianzad vs. Macy Chiasson,Macy Chiasson,1,2,0,24,50,37,64,0,6,11,31,12,18,1,1,12,28,10,18,2,4,0,2,Pannie Kianzad,Macy Chiasson,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Pannie Kianzad vs. Macy Chiasson,Pannie Kianzad,0,1,0,19,39,30,50,0,2,10,27,9,12,0,0,8,23,11,16,0,0,0,2,Pannie Kianzad,Macy Chiasson,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Pedro Munhoz vs. Bryan Caraway,Bryan Caraway,0,0,0,20,48,21,49,0,5,18,46,1,1,1,1,20,45,0,3,0,0,0,1,Pedro Munhoz,Bryan Caraway,the ultimate fighter heavy hitters finale,30-Nov-18
the ultimate fighter: heavy hitters finale,Pedro Munhoz vs. Bryan Caraway,Pedro Munhoz,1,0,0,35,58,38,62,0,0,24,45,2,2,9,11,27,47,4,7,4,4,0,1,Pedro Munhoz,Bryan Caraway,the ultimate fighter heavy hitters finale,30-Nov-18
